Date,Name,State
["19/01/2022, 14:35:51","Back Yard Lights",0]
["19/01/2022, 14:35:51","Front Lights",0]
["19/01/2022, 14:36:06","Back Yard Lights",1]
["19/01/2022, 14:36:21","Back Yard Lights",1]
["19/01/2022, 14:36:36","Back Yard Lights",1]
["19/01/2022, 14:36:50","Front Lights",0]
["19/01/2022, 14:36:51","Back Yard Lights",1]
["19/01/2022, 14:36:52","Back Yard Lights",1]
["19/01/2022, 14:36:57","Front Lights",0]
["19/01/2022, 14:36:58","Back Yard Lights",0]
["19/01/2022, 14:37:12","Back Yard Lights",1]
["19/01/2022, 14:37:27","Back Yard Lights",1]
["19/01/2022, 14:37:42","Back Yard Lights",1]
["19/01/2022, 14:37:57","Front Lights",0]
["19/01/2022, 14:37:57","Back Yard Lights",1]
["19/01/2022, 14:37:58","Back Yard Lights",1]
["19/01/2022, 14:38:12","Back Yard Lights",1]
["19/01/2022, 14:38:27","Back Yard Lights",1]
["19/01/2022, 14:38:42","Back Yard Lights",1]
["19/01/2022, 14:38:57","Front Lights",0]
["19/01/2022, 14:38:57","Back Yard Lights",1]
["19/01/2022, 14:38:58","Back Yard Lights",1]
["19/01/2022, 14:39:12","Back Yard Lights",1]
["19/01/2022, 14:39:27","Back Yard Lights",1]
["19/01/2022, 14:39:42","Back Yard Lights",1]
["19/01/2022, 14:39:57","Front Lights",0]
["19/01/2022, 14:39:57","Back Yard Lights",1]
["19/01/2022, 14:39:58","Back Yard Lights",1]
["19/01/2022, 14:40:12","Back Yard Lights",1]
["19/01/2022, 14:40:27","Back Yard Lights",1]
["19/01/2022, 14:40:42","Back Yard Lights",1]
["19/01/2022, 14:40:57","Front Lights",0]
["19/01/2022, 14:40:57","Back Yard Lights",1]
["19/01/2022, 14:40:58","Back Yard Lights",1]
["19/01/2022, 14:41:12","Back Yard Lights",1]
["19/01/2022, 14:41:27","Back Yard Lights",1]
["19/01/2022, 14:41:42","Back Yard Lights",1]
["19/01/2022, 14:41:57","Front Lights",0]
["19/01/2022, 14:41:57","Back Yard Lights",1]
["19/01/2022, 14:41:58","Back Yard Lights",1]
["19/01/2022, 14:42:12","Back Yard Lights",1]
["19/01/2022, 14:42:27","Back Yard Lights",1]
["19/01/2022, 14:42:42","Back Yard Lights",1]
["19/01/2022, 14:42:57","Front Lights",0]
["19/01/2022, 14:42:57","Back Yard Lights",1]
["19/01/2022, 14:42:58","Back Yard Lights",1]
["19/01/2022, 14:43:12","Back Yard Lights",1]
["19/01/2022, 14:43:27","Back Yard Lights",1]
["19/01/2022, 14:43:42","Back Yard Lights",1]
["19/01/2022, 14:43:57","Front Lights",0]
["19/01/2022, 14:43:57","Back Yard Lights",1]
["19/01/2022, 14:43:58","Back Yard Lights",1]
["19/01/2022, 14:44:12","Back Yard Lights",1]
["19/01/2022, 14:44:27","Back Yard Lights",1]
["19/01/2022, 14:44:42","Back Yard Lights",1]
["19/01/2022, 14:44:57","Front Lights",0]
["19/01/2022, 14:44:57","Back Yard Lights",1]
["19/01/2022, 14:44:58","Back Yard Lights",1]
["19/01/2022, 14:45:12","Back Yard Lights",1]
["19/01/2022, 14:45:27","Back Yard Lights",1]
["19/01/2022, 14:45:42","Back Yard Lights",1]
["19/01/2022, 14:45:57","Front Lights",0]
["19/01/2022, 14:45:57","Back Yard Lights",1]
["19/01/2022, 14:45:58","Back Yard Lights",1]
["19/01/2022, 14:46:12","Back Yard Lights",1]
["19/01/2022, 14:46:27","Back Yard Lights",1]
["19/01/2022, 14:46:42","Back Yard Lights",1]
["19/01/2022, 14:46:57","Front Lights",0]
["19/01/2022, 14:46:57","Back Yard Lights",1]
["19/01/2022, 14:46:58","Back Yard Lights",1]
["19/01/2022, 14:47:12","Back Yard Lights",1]
["19/01/2022, 14:47:27","Back Yard Lights",1]
["19/01/2022, 14:47:42","Back Yard Lights",1]
["19/01/2022, 14:47:57","Front Lights",0]
["19/01/2022, 14:47:57","Back Yard Lights",1]
["19/01/2022, 14:47:58","Back Yard Lights",1]
["19/01/2022, 14:48:12","Back Yard Lights",1]
["19/01/2022, 14:48:27","Back Yard Lights",1]
["19/01/2022, 14:48:42","Back Yard Lights",1]
["19/01/2022, 14:48:57","Front Lights",0]
["19/01/2022, 14:48:57","Back Yard Lights",1]
["19/01/2022, 14:48:58","Back Yard Lights",1]
["19/01/2022, 14:49:12","Back Yard Lights",1]
["19/01/2022, 14:49:27","Back Yard Lights",1]
["19/01/2022, 14:49:42","Back Yard Lights",1]
["19/01/2022, 14:49:57","Front Lights",0]
["19/01/2022, 14:49:57","Back Yard Lights",1]
["19/01/2022, 14:49:58","Back Yard Lights",1]
["19/01/2022, 14:50:12","Back Yard Lights",1]
["19/01/2022, 14:50:27","Back Yard Lights",1]
["19/01/2022, 14:50:42","Back Yard Lights",1]
["19/01/2022, 14:50:56","Front Lights",0]
["19/01/2022, 14:50:57","Back Yard Lights",1]
["19/01/2022, 14:50:58","Back Yard Lights",1]
["19/01/2022, 14:51:12","Back Yard Lights",1]
["19/01/2022, 14:51:27","Back Yard Lights",1]
["19/01/2022, 14:51:42","Back Yard Lights",1]
["19/01/2022, 14:51:57","Front Lights",0]
["19/01/2022, 14:51:57","Back Yard Lights",1]
["19/01/2022, 14:51:58","Back Yard Lights",1]
["19/01/2022, 14:52:12","Back Yard Lights",1]
["19/01/2022, 14:52:27","Back Yard Lights",1]
["19/01/2022, 14:52:42","Back Yard Lights",1]
["19/01/2022, 14:52:57","Front Lights",0]
["19/01/2022, 14:52:57","Back Yard Lights",1]
["19/01/2022, 14:52:58","Back Yard Lights",1]
["19/01/2022, 14:53:12","Back Yard Lights",1]
["19/01/2022, 14:53:27","Back Yard Lights",1]
["19/01/2022, 14:53:42","Back Yard Lights",1]
["19/01/2022, 14:53:57","Front Lights",0]
["19/01/2022, 14:53:57","Back Yard Lights",1]
["19/01/2022, 14:53:58","Back Yard Lights",1]
["19/01/2022, 14:54:12","Back Yard Lights",1]
["19/01/2022, 14:54:27","Back Yard Lights",1]
["19/01/2022, 14:54:42","Back Yard Lights",1]
["19/01/2022, 14:54:57","Front Lights",0]
["19/01/2022, 14:54:57","Back Yard Lights",1]
["19/01/2022, 14:54:58","Back Yard Lights",1]
["19/01/2022, 14:55:12","Back Yard Lights",1]
["19/01/2022, 14:55:27","Back Yard Lights",1]
["19/01/2022, 14:55:42","Back Yard Lights",1]
["19/01/2022, 14:55:57","Front Lights",0]
["19/01/2022, 14:55:57","Back Yard Lights",1]
["19/01/2022, 14:55:58","Back Yard Lights",1]
["19/01/2022, 14:56:12","Back Yard Lights",1]
["19/01/2022, 14:56:27","Back Yard Lights",1]
["19/01/2022, 14:56:42","Back Yard Lights",1]
["19/01/2022, 14:56:57","Front Lights",0]
["19/01/2022, 14:56:57","Back Yard Lights",1]
["19/01/2022, 14:56:58","Back Yard Lights",1]
["19/01/2022, 14:57:12","Back Yard Lights",1]
["19/01/2022, 14:57:27","Back Yard Lights",1]
["19/01/2022, 14:57:42","Back Yard Lights",1]
["19/01/2022, 14:57:57","Front Lights",0]
["19/01/2022, 14:57:57","Back Yard Lights",1]
["19/01/2022, 14:57:58","Back Yard Lights",1]
["19/01/2022, 14:58:12","Back Yard Lights",1]
["19/01/2022, 14:58:27","Back Yard Lights",1]
["19/01/2022, 14:58:42","Back Yard Lights",1]
["19/01/2022, 14:58:57","Front Lights",0]
["19/01/2022, 14:58:57","Back Yard Lights",1]
["19/01/2022, 14:58:58","Back Yard Lights",1]
["19/01/2022, 14:59:12","Back Yard Lights",1]
["19/01/2022, 14:59:27","Back Yard Lights",1]
["19/01/2022, 14:59:42","Back Yard Lights",1]
["19/01/2022, 14:59:57","Front Lights",0]
["19/01/2022, 14:59:57","Back Yard Lights",1]
["19/01/2022, 14:59:58","Back Yard Lights",1]
["19/01/2022, 15:00:12","Back Yard Lights",1]
["19/01/2022, 15:00:27","Back Yard Lights",1]
["19/01/2022, 15:00:42","Back Yard Lights",1]
["19/01/2022, 15:00:57","Front Lights",0]
["19/01/2022, 15:00:57","Back Yard Lights",1]
["19/01/2022, 15:00:58","Back Yard Lights",1]
["19/01/2022, 15:01:12","Back Yard Lights",1]
["19/01/2022, 15:01:27","Back Yard Lights",1]
["19/01/2022, 15:01:42","Back Yard Lights",1]
["19/01/2022, 15:01:57","Front Lights",0]
