na,State,Name,Date
["xx",0,"Front Lights","22/01/20T08:08:22"]
["xx",0,"Back Yard Lights","22/01/20T08:08:22"]
["xx",1,"Back Yard Lights","22/01/20T08:09:20"]
["xx",1,"Front Lights","22/01/20T08:09:21"]
["xx",0,"Front Lights","22/01/20T08:10:21"]
["xx",0,"Back Yard Lights","22/01/20T08:10:21"]
["xx",0,"Front Lights","22/01/20T08:11:21"]
["xx",0,"Back Yard Lights","22/01/20T08:11:21"]
["xx",0,"Front Lights","22/01/20T08:12:21"]
["xx",0,"Back Yard Lights","22/01/20T08:12:21"]
["xx",0,"Front Lights","22/01/20T08:13:20"]
["xx",0,"Back Yard Lights","22/01/20T08:13:21"]
["xx",0,"Front Lights","22/01/20T08:14:14"]
["xx",0,"Back Yard Lights","22/01/20T08:14:14"]
["xx",1,"Back Yard Lights","22/01/20T08:15:13"]
["xx",1,"Front Lights","22/01/20T08:15:13"]
["xx",1,"Back Yard Lights","22/01/20T08:16:13"]
["xx",1,"Front Lights","22/01/20T08:16:13"]
["xx",1,"Back Yard Lights","22/01/20T08:17:13"]
["xx",1,"Front Lights","22/01/20T08:17:13"]
["xx",0,"Front Lights","22/01/20T08:18:13"]
["xx",0,"Back Yard Lights","22/01/20T08:18:13"]
["xx",0,"Back Yard Lights","22/01/20T08:19:13"]
["xx",0,"Front Lights","22/01/20T08:19:13"]
["xx",0,"Front Lights","22/01/20T08:20:13"]
["xx",0,"Back Yard Lights","22/01/20T08:20:13"]
["xx",0,"Front Lights","22/01/20T08:21:13"]
["xx",0,"Back Yard Lights","22/01/20T08:21:13"]
["xx",0,"Front Lights","22/01/20T08:22:13"]
["xx",0,"Back Yard Lights","22/01/20T08:22:13"]
["xx",0,"Front Lights","22/01/20T08:23:13"]
["xx",0,"Back Yard Lights","22/01/20T08:23:13"]
["xx",0,"Front Lights","22/01/20T08:24:13"]
["xx",0,"Back Yard Lights","22/01/20T08:24:13"]
["xx",0,"Back Yard Lights","22/01/20T08:25:13"]
["xx",0,"Front Lights","22/01/20T08:25:13"]
["xx",0,"Back Yard Lights","22/01/20T08:26:13"]
["xx",0,"Front Lights","22/01/20T08:26:13"]
["xx",0,"Front Lights","22/01/20T08:27:13"]
["xx",0,"Back Yard Lights","22/01/20T08:27:13"]
["xx",0,"Front Lights","22/01/20T08:28:13"]
["xx",0,"Back Yard Lights","22/01/20T08:28:13"]
["xx",0,"Front Lights","22/01/20T08:29:13"]
["xx",0,"Back Yard Lights","22/01/20T08:29:13"]
["xx",0,"Back Yard Lights","22/01/20T08:30:13"]
["xx",0,"Front Lights","22/01/20T08:30:13"]
["xx",0,"Back Yard Lights","22/01/20T08:31:13"]
["xx",0,"Front Lights","22/01/20T08:31:13"]
["xx",0,"Back Yard Lights","22/01/20T08:32:13"]
["xx",0,"Front Lights","22/01/20T08:32:13"]
["xx",0,"Back Yard Lights","22/01/20T08:33:13"]
["xx",0,"Front Lights","22/01/20T08:33:13"]
["xx",0,"Front Lights","22/01/20T08:34:13"]
["xx",0,"Back Yard Lights","22/01/20T08:34:13"]
["xx",0,"Front Lights","22/01/20T08:35:13"]
["xx",0,"Back Yard Lights","22/01/20T08:35:13"]
["xx",0,"Front Lights","22/01/20T08:36:13"]
["xx",0,"Back Yard Lights","22/01/20T08:36:13"]
["xx",0,"Front Lights","22/01/20T08:37:13"]
["xx",0,"Back Yard Lights","22/01/20T08:37:13"]
["xx",0,"Back Yard Lights","22/01/20T08:38:13"]
["xx",0,"Front Lights","22/01/20T08:38:13"]
