['Front Lights', '13:59:00', '13:59:00']
['Front Lights', '13:57:00', '1 day, 3:56:00']
['Front Lights', '13:54:00', '1 day, 17:50:00']
['Front Lights', '13:53:01', '2 days, 7:43:01']
['Front Lights', '14:00:26', '2 days, 21:43:27']
['Front Lights', '13:49:05', '3 days, 11:32:32']
['Front Lights', '13:47:00', '4 days, 1:19:32']
['Front Lights', '13:45:00', '4 days, 15:04:32']
['Front Lights', '13:43:00', '5 days, 4:47:32']
['Front Lights', '13:40:00', '5 days, 18:27:32']
['Front Lights', '13:39:00', '6 days, 8:06:32']
['Front Lights', '13:38:01', '6 days, 21:44:33']
['Front Lights', '13:34:00', '7 days, 11:18:33']
['Front Lights', '13:31:01', '8 days, 0:49:34']
['Front Lights', '13:29:00', '8 days, 14:18:34']
['Front Lights', '13:27:00', '9 days, 3:45:34']
['Front Lights', '13:24:00', '9 days, 17:09:34']
['Front Lights', '13:22:00', '10 days, 6:31:34']
['Front Lights', '13:20:47', '10 days, 19:52:21']
['Front Lights', '13:16:01', '11 days, 9:08:22']
['Front Lights', '12:04:36', '11 days, 21:12:58']
['Front Lights', '13:13:01', '12 days, 10:25:59']
['Front Lights', '13:11:00', '12 days, 23:36:59']
['Front Lights', '13:06:00', '13 days, 12:42:59']
['Front Lights', '13:04:00', '14 days, 1:46:59']
['Front Lights', '13:02:00', '14 days, 14:48:59']
['Front Lights', '12:58:01', '15 days, 3:47:00']
['Front Lights', '12:58:00', '15 days, 16:45:00']
['Back Yard Lights', '13:59:00', '13:59:00']
['Back Yard Lights', '13:57:00', '1 day, 3:56:00']
['Back Yard Lights', '13:54:00', '1 day, 17:50:00']
['Back Yard Lights', '13:53:01', '2 days, 7:43:01']
['Back Yard Lights', '13:51:00', '2 days, 21:34:01']
['Back Yard Lights', '13:49:06', '3 days, 11:23:07']
['Back Yard Lights', '13:47:00', '4 days, 1:10:07']
['Back Yard Lights', '13:46:00', '4 days, 14:56:07']
['Back Yard Lights', '13:43:00', '5 days, 4:39:07']
['Back Yard Lights', '13:40:00', '5 days, 18:19:07']
['Back Yard Lights', '13:38:00', '6 days, 7:57:07']
['Back Yard Lights', '13:37:01', '6 days, 21:34:08']
['Back Yard Lights', '13:35:00', '7 days, 11:09:08']
['Back Yard Lights', '13:33:01', '8 days, 0:42:09']
['Back Yard Lights', '13:27:00', '8 days, 14:09:09']
['Back Yard Lights', '13:27:00', '9 days, 3:36:09']
['Back Yard Lights', '2 days, 13:23:47', '11 days, 16:59:56']
['Back Yard Lights', '13:16:01', '12 days, 6:15:57']
['Back Yard Lights', '12:06:36', '12 days, 18:22:33']
['Back Yard Lights', '13:10:01', '13 days, 7:32:34']
['Back Yard Lights', '13:12:00', '13 days, 20:44:34']
['Back Yard Lights', '13:05:59', '14 days, 9:50:33']
['Back Yard Lights', '13:05:00', '14 days, 22:55:33']
['Back Yard Lights', '13:00:00', '15 days, 11:55:33']
['Back Yard Lights', '12:59:01', '16 days, 0:54:34']
['Back Yard Lights', '12:55:00', '16 days, 13:49:34']
